Model,Corruption,Severity,Flipped
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,True
MobileNetV2,brightness,3,True
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,True
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,False
MobileNetV2,jpeg_compression,3,True
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,False
MobileNetV2,gaussian_noise,3,False
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,False
MobileNetV2,shot_noise,3,False
MobileNetV2,shot_noise,5,False
MobileNetV2,defocus_blur,1,False
MobileNetV2,defocus_blur,3,False
MobileNetV2,defocus_blur,5,False
MobileNetV2,motion_blur,1,False
MobileNetV2,motion_blur,3,False
MobileNetV2,motion_blur,5,False
MobileNetV2,fog,1,False
MobileNetV2,fog,3,False
MobileNetV2,fog,5,False
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,True
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,False
MobileNetV2,contrast,3,False
MobileNetV2,contrast,5,False
MobileNetV2,jpeg_compression,1,False
MobileNetV2,jpeg_compression,3,False
MobileNetV2,jpeg_compression,5,False
MobileNetV2,gaussian_noise,1,True
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,True
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,True
MobileNetV2,defocus_blur,3,True
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,False
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,True
MobileNetV2,brightness,3,True
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,True
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,True
MobileNetV2,jpeg_compression,3,True
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,False
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,False
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,False
MobileNetV2,defocus_blur,3,False
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,False
MobileNetV2,motion_blur,3,False
MobileNetV2,motion_blur,5,False
MobileNetV2,fog,1,False
MobileNetV2,fog,3,False
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,False
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,False
MobileNetV2,contrast,3,False
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,False
MobileNetV2,jpeg_compression,3,False
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,True
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,True
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,True
MobileNetV2,defocus_blur,3,True
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,True
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,True
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,False
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,True
MobileNetV2,jpeg_compression,3,True
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,True
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,True
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,True
MobileNetV2,defocus_blur,3,True
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,True
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,False
MobileNetV2,brightness,5,True
MobileNetV2,contrast,1,True
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,True
MobileNetV2,jpeg_compression,3,True
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,True
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,True
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,True
MobileNetV2,defocus_blur,3,True
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,True
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,True
MobileNetV2,brightness,5,False
MobileNetV2,contrast,1,True
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,True
MobileNetV2,jpeg_compression,3,True
MobileNetV2,jpeg_compression,5,True
MobileNetV2,gaussian_noise,1,True
MobileNetV2,gaussian_noise,3,True
MobileNetV2,gaussian_noise,5,True
MobileNetV2,shot_noise,1,True
MobileNetV2,shot_noise,3,True
MobileNetV2,shot_noise,5,True
MobileNetV2,defocus_blur,1,False
MobileNetV2,defocus_blur,3,True
MobileNetV2,defocus_blur,5,True
MobileNetV2,motion_blur,1,False
MobileNetV2,motion_blur,3,True
MobileNetV2,motion_blur,5,True
MobileNetV2,fog,1,True
MobileNetV2,fog,3,True
MobileNetV2,fog,5,True
MobileNetV2,brightness,1,False
MobileNetV2,brightness,3,False
MobileNetV2,brightness,5,False
MobileNetV2,contrast,1,False
MobileNetV2,contrast,3,True
MobileNetV2,contrast,5,True
MobileNetV2,jpeg_compression,1,False
MobileNetV2,jpeg_compression,3,False
MobileNetV2,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,False
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,False
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,True
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,False
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,False
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,True
EfficientNetB0,brightness,3,True
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,False
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,False
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,False
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,False
EfficientNetB0,motion_blur,5,False
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,True
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,True
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,True
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,False
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,True
EfficientNetB0,jpeg_compression,3,True
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,False
EfficientNetB0,gaussian_noise,5,False
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,False
EfficientNetB0,shot_noise,5,False
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,False
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,False
EfficientNetB0,motion_blur,5,False
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,False
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,False
EfficientNetB0,contrast,5,False
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,True
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,False
EfficientNetB0,shot_noise,3,False
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,False
EfficientNetB0,defocus_blur,5,False
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,False
EfficientNetB0,motion_blur,5,False
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,False
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,False
EfficientNetB0,contrast,5,False
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,True
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,True
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,True
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,True
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,True
EfficientNetB0,jpeg_compression,3,True
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,True
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,True
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,True
EfficientNetB0,jpeg_compression,3,True
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,True
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,True
EfficientNetB0,fog,3,True
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,True
EfficientNetB0,brightness,5,True
EfficientNetB0,contrast,1,True
EfficientNetB0,contrast,3,True
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,True
EfficientNetB0,gaussian_noise,1,False
EfficientNetB0,gaussian_noise,3,True
EfficientNetB0,gaussian_noise,5,True
EfficientNetB0,shot_noise,1,True
EfficientNetB0,shot_noise,3,True
EfficientNetB0,shot_noise,5,True
EfficientNetB0,defocus_blur,1,False
EfficientNetB0,defocus_blur,3,True
EfficientNetB0,defocus_blur,5,True
EfficientNetB0,motion_blur,1,False
EfficientNetB0,motion_blur,3,True
EfficientNetB0,motion_blur,5,True
EfficientNetB0,fog,1,False
EfficientNetB0,fog,3,False
EfficientNetB0,fog,5,True
EfficientNetB0,brightness,1,False
EfficientNetB0,brightness,3,False
EfficientNetB0,brightness,5,False
EfficientNetB0,contrast,1,False
EfficientNetB0,contrast,3,False
EfficientNetB0,contrast,5,True
EfficientNetB0,jpeg_compression,1,False
EfficientNetB0,jpeg_compression,3,False
EfficientNetB0,jpeg_compression,5,False
InceptionV3,gaussian_noise,1,False
InceptionV3,gaussian_noise,3,False
InceptionV3,gaussian_noise,5,True
InceptionV3,shot_noise,1,False
InceptionV3,shot_noise,3,False
InceptionV3,shot_noise,5,True
InceptionV3,defocus_blur,1,False
InceptionV3,defocus_blur,3,False
InceptionV3,defocus_blur,5,True
InceptionV3,motion_blur,1,False
InceptionV3,motion_blur,3,False
InceptionV3,motion_blur,5,True
InceptionV3,fog,1,False
InceptionV3,fog,3,False
InceptionV3,fog,5,False
InceptionV3,brightness,1,False
InceptionV3,brightness,3,False
InceptionV3,brightness,5,False
InceptionV3,contrast,1,False
InceptionV3,contrast,3,False
InceptionV3,contrast,5,True
InceptionV3,jpeg_compression,1,False
InceptionV3,jpeg_compression,3,False
InceptionV3,jpeg_compression,5,False
InceptionV3,gaussian_noise,1,False
InceptionV3,gaussian_noise,3,True
InceptionV3,gaussian_noise,5,True
InceptionV3,shot_noise,1,False
InceptionV3,shot_noise,3,True
InceptionV3,shot_noise,5,True
InceptionV3,defocus_blur,1,False
InceptionV3,defocus_blur,3,True
InceptionV3,defocus_blur,5,True
InceptionV3,motion_blur,1,False
InceptionV3,motion_blur,3,True
InceptionV3,motion_blur,5,True
InceptionV3,fog,1,False
InceptionV3,fog,3,True
InceptionV3,fog,5,True
InceptionV3,brightness,1,False
InceptionV3,brightness,3,False
InceptionV3,brightness,5,False
InceptionV3,contrast,1,False
InceptionV3,contrast,3,False
InceptionV3,contrast,5,True
InceptionV3,jpeg_compression,1,False
InceptionV3,jpeg_compression,3,False
InceptionV3,jpeg_compression,5,False
InceptionV3,gaussian_noise,1,False
